INFO:WDM:Current google-chrome version is 87.0.4280
INFO:WDM:Get LATEST driver version for 87.0.4280
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): chromedriver.storage.googleapis.com:80
DEBUG:urllib3.connectionpool:http://chromedriver.storage.googleapis.com:80 "GET /LATEST_RELEASE_87.0.4280 HTTP/1.1" 200 12
INFO:WDM:Driver [C:\Users\Guy\.wdm\drivers\chromedriver\win32\87.0.4280.88\chromedriver.exe] found in cache
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 127.0.0.1:49385
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "POST /session/3ee2cb64389fe4294be8ddcece9adc3e/element HTTP/1.1" 200 88
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
DEBUG:urllib3.connectionpool:http://127.0.0.1:49385 "GET /session/3ee2cb64389fe4294be8ddcece9adc3e/element/7784b0dd-a753-41e3-9613-edf2708cd84a/text HTTP/1.1" 200 14
